PERMNO,date,TICKER,PRC,VOL,RET
90448,2022-01-05,GLD,169.06000,8715585,-0.003008
90448,2022-01-06,GLD,166.99001,10902661,-0.012244
90448,2022-01-07,GLD,167.75000,8191936,0.004551
90448,2022-01-10,GLD,168.25999,7026475,0.003040
90448,2022-01-11,GLD,170.28999,8368980,0.012065
90448,2022-01-12,GLD,170.74001,6280745,0.002643
90448,2022-01-13,GLD,170.16000,7034202,-0.003397
90448,2022-01-14,GLD,169.67000,7865900,-0.002880
90448,2022-01-18,GLD,169.39000,9323046,-0.001650
90448,2022-01-19,GLD,172.08000,15784477,0.015881
90448,2022-01-20,GLD,171.64999,9570477,-0.002499
90448,2022-01-21,GLD,171.09000,10982517,-0.003262
90448,2022-01-24,GLD,172.03000,15735970,0.005494
90448,2022-01-25,GLD,172.58000,17382097,0.003197
90448,2022-01-26,GLD,169.78999,17799403,-0.016166
90448,2022-01-27,GLD,167.60001,15875306,-0.012898
90448,2022-01-28,GLD,167.10001,9782484,-0.002983
90448,2022-01-31,GLD,168.09000,8539265,0.005925
90448,2022-02-01,GLD,168.23000,9763909,0.000833
90448,2022-02-02,GLD,168.84000,9085285,0.003626
90448,2022-02-03,GLD,168.60001,10650800,-0.001421
90448,2022-02-04,GLD,168.86000,9619611,0.001542
90448,2022-02-07,GLD,170.11000,7796866,0.007403
90448,2022-02-08,GLD,170.63000,5801993,0.003057
90448,2022-02-09,GLD,171.21001,8002766,0.003399
90448,2022-02-10,GLD,170.56000,10693524,-0.003797
90448,2022-02-11,GLD,173.81000,25741494,0.019055
90448,2022-02-14,GLD,174.74001,13650704,0.005351
90448,2022-02-15,GLD,173.08000,12607006,-0.009500
90448,2022-02-16,GLD,174.86000,12772069,0.010284
90448,2022-02-17,GLD,177.25000,18612546,0.013668
90448,2022-02-18,GLD,177.12000,12760663,-0.000733
90448,2022-02-22,GLD,177.49001,14960494,0.002089
90448,2022-02-23,GLD,178.28999,11772201,0.004507
90448,2022-02-24,GLD,177.14000,32725999,-0.006450
90448,2022-02-25,GLD,176.55000,11530929,-0.003331
90448,2022-02-28,GLD,178.38000,16055844,0.010365
90448,2022-03-01,GLD,181.62000,21942127,0.018163
90448,2022-03-02,GLD,179.73000,19727192,-0.010406
90448,2022-03-03,GLD,180.80000,14826051,0.005953
90448,2022-03-04,GLD,183.67999,22412092,0.015929
90448,2022-03-07,GLD,186.41000,27951785,0.014863
90448,2022-03-08,GLD,191.50999,47347678,0.027359
90448,2022-03-09,GLD,185.82001,26839671,-0.029711
90448,2022-03-10,GLD,186.39999,18455213,0.003121
90448,2022-03-11,GLD,185.09000,14824715,-0.007028
90448,2022-03-14,GLD,182.30000,13186389,-0.015074
90448,2022-03-15,GLD,178.89000,16962273,-0.018705
90448,2022-03-16,GLD,180.00999,17548090,0.006261
90448,2022-03-17,GLD,180.89000,10954139,0.004889
